constellation,average_competence,average_relative_competence,average_accuracy,count,population,sample,options,iteration,total_iterations
minority,0.592941944138583,0.38941291620787444,0.21910112359550563,178,999,3,3,19,1000
consensus,0.7163796098101357,0.5745694147152036,0.9803921568627451,102,999,3,3,20,1000
dissensus,0.6121346057441095,0.4182019086161642,0.3333333333333333,47,999,3,3,20,1000
majority,0.6977899156504925,0.5466848734757388,0.8043478260869565,184,999,3,3,20,1000
minority,0.5729204139214995,0.35938062088224915,0.15217391304347827,184,999,3,3,20,1000
consensus,0.7227036449349709,0.5840554674024563,0.9009009009009009,111,999,3,3,21,1000
dissensus,0.6207802541291294,0.43117038119369405,0.3333333333333333,39,999,3,3,21,1000
majority,0.6625344778389037,0.4938017167583556,0.7540983606557377,183,999,3,3,21,1000
minority,0.5689058034173561,0.3533587051260342,0.18579234972677597,183,999,3,3,21,1000
consensus,0.7306719486953709,0.5960079230430564,0.9891304347826086,92,999,3,3,22,1000
dissensus,0.5981182418486888,0.3971773627730332,0.3333333333333333,43,999,3,3,22,1000
majority,0.6827526421310468,0.5241289631965702,0.7626262626262627,198,999,3,3,22,1000
minority,0.5866969673971172,0.38004545109567583,0.18181818181818182,198,999,3,3,22,1000
consensus,0.7223219910538239,0.5834829865807357,0.97,100,999,3,3,23,1000
dissensus,0.6250410354052618,0.4375615531078927,0.3333333333333333,41,999,3,3,23,1000
majority,0.6798896160261292,0.5198344240391938,0.7135416666666666,192,999,3,3,23,1000
minority,0.595014078523996,0.392521117785994,0.21354166666666666,192,999,3,3,23,1000
consensus,0.7067188518538927,0.5600782777808392,0.9591836734693877,98,999,3,3,24,1000
dissensus,0.6145111765727282,0.4217667648590924,0.3333333333333333,35,999,3,3,24,1000
majority,0.6697541196392073,0.504631179458811,0.775,200,999,3,3,24,1000
minority,0.5865172581910156,0.3797758872865234,0.165,200,999,3,3,24,1000
consensus,0.7228084722666547,0.5842127083999821,0.9782608695652174,92,999,3,3,25,1000
dissensus,0.5975296646258696,0.39629449693880436,0.3333333333333333,37,999,3,3,25,1000
majority,0.6801712990006481,0.5202569485009723,0.7401960784313726,204,999,3,3,25,1000
minority,0.5842319115360262,0.37634786730403924,0.19117647058823528,204,999,3,3,25,1000
consensus,0.7279610178257893,0.5919415267386838,0.9652173913043478,115,999,3,3,26,1000
dissensus,0.6081450684317228,0.41221760264758406,0.3333333333333333,29,999,3,3,26,1000
majority,0.6686024483908428,0.5029036725862642,0.7195767195767195,189,999,3,3,26,1000
minority,0.6071679711586597,0.4107519567379896,0.1746031746031746,189,999,3,3,26,1000
consensus,0.6912038343629674,0.5368057515444512,0.9603960396039604,101,999,3,3,27,1000
dissensus,0.635597698227872,0.453396547341808,0.3333333333333333,42,999,3,3,27,1000
majority,0.6717497249689411,0.5076245874534117,0.7368421052631579,190,999,3,3,27,1000
minority,0.5912060832277987,0.38680912484169794,0.22105263157894736,190,999,3,3,27,1000
consensus,0.7327535715193885,0.5991303572790827,0.9702970297029703,101,999,3,3,28,1000
dissensus,0.6216782042457129,0.43251730636856933,0.3333333333333333,38,999,3,3,28,1000
majority,0.6838672794877708,0.5258009192316563,0.7989690721649485,194,999,3,3,28,1000
minority,0.578898673762705,0.3683480106440575,0.17010309278350516,194,999,3,3,28,1000
consensus,0.7237652456116858,0.5856478684175287,0.9904761904761905,105,999,3,3,29,1000
dissensus,0.6178253562892696,0.4267380344339044,0.3333333333333333,34,999,3,3,29,1000
majority,0.6855590417557093,0.5283385626335639,0.7783505154639175,194,999,3,3,29,1000
minority,0.5981583524266534,0.39723752863998,0.17525773195876287,194,999,3,3,29,1000
consensus,0.7213234093267885,0.5819851139901827,0.95,100,999,3,3,30,1000
dissensus,0.6047078911813313,0.40706183677199687,0.3333333333333333,32,999,3,3,30,1000
majority,0.6716677615064572,0.5075016422596857,0.7412935323383084,201,999,3,3,30,1000
minority,0.5843636803722834,0.3765455205584251,0.20398009950248755,201,999,3,3,30,1000
consensus,0.7104267042486546,0.5656400563729819,0.9690721649484536,97,999,3,3,31,1000
dissensus,0.6228314500767738,0.4342471751151607,0.3333333333333333,26,999,3,3,31,1000
majority,0.6862084743115933,0.5293127114673899,0.7428571428571429,210,999,3,3,31,1000
minority,0.5864005957634025,0.37960089364510385,0.2,210,999,3,3,31,1000
consensus,0.7346791595327349,0.6020187392991024,0.9787234042553191,94,999,3,3,32,1000
dissensus,0.6306480126340699,0.4459720189511048,0.3333333333333333,46,999,3,3,32,1000
majority,0.6868437803072923,0.5302656704609384,0.7668393782383419,193,999,3,3,32,1000
minority,0.5881905819776763,0.3822858729665144,0.18652849740932642,193,999,3,3,32,1000
consensus,0.7089469270793192,0.5634203906189788,0.989010989010989,91,999,3,3,33,1000
dissensus,0.6109633748947764,0.41644506234216455,0.3333333333333333,48,999,3,3,33,1000
majority,0.6822916931677546,0.5234375397516319,0.7525773195876289,194,999,3,3,33,1000
minority,0.5907671147600597,0.3861506721400896,0.20618556701030927,194,999,3,3,33,1000
consensus,0.7263425092562927,0.5895137638844392,0.9893617021276596,94,999,3,3,34,1000
dissensus,0.623472999493925,0.4352094992408874,0.3333333333333333,27,999,3,3,34,1000
majority,0.6624485868473725,0.4936728802710587,0.7311320754716981,212,999,3,3,34,1000
minority,0.5866161377913078,0.3799242066869618,0.21226415094339623,212,999,3,3,34,1000
consensus,0.7238049899943324,0.5857074849914987,0.9903846153846154,104,999,3,3,35,1000
dissensus,0.5779048075275465,0.3668572112913197,0.3333333333333333,33,999,3,3,35,1000
majority,0.6796888524914306,0.5195332787371459,0.7704081632653061,196,999,3,3,35,1000
minority,0.56994517872563,0.354917768088445,0.1836734693877551,196,999,3,3,35,1000
consensus,0.75331020500310375,0.6299653075046556,0.979381443298969,97,999,3,3,36,1000
dissensus,0.5868003168608994,0.38020047529134904,0.3333333333333333,40,999,3,3,36,1000
majority,0.6897466229496613,0.534619934424492,0.8010204081632653,196,999,3,3,36,1000
minority,0.577177982458205,0.3657669736873074,0.16326530612244897,196,999,3,3,36,1000
consensus,0.7178380625021722,0.5767570937532582,0.9791666666666666,96,999,3,3,37,1000
dissensus,0.600823824756339,0.4012357371345085,0.3333333333333333,48,999,3,3,37,1000
majority,0.7001286314897293,0.5501929472345937,0.7724867724867724,189,999,3,3,37,1000
minority,0.574740555315612,0.3621108329734179,0.14814814814814814,189,999,3,3,37,1000
consensus,0.7392714694902922,0.6089072042354383,1,100,999,3,3,38,1000
dissensus,0.617468330455755,0.4262024956836325,0.3333333333333333,46,999,3,3,38,1000
majority,0.6838744215753574,0.5258116323630361,0.7754010695187166,187,999,3,3,38,1000
minority,0.5845758780901804,0.3768638171352705,0.1657754010695187,187,999,3,3,38,1000
consensus,0.7084864748931384,0.5627297123397077,1,99,999,3,3,39,1000
dissensus,0.6210111319259913,0.43151669788898694,0.3333333333333333,30,999,3,3,39,1000
majority,0.6840486724981186,0.5260730087471779,0.7745098039215687,204,999,3,3,39,1000
minority,0.5793486857342418,0.36902302860136277,0.16176470588235295,204,999,3,3,39,1000
consensus,0.7132261849889387,0.5698392774834081,0.9831932773109243,119,999,3,3,40,1000
dissensus,0.6075276734029306,0.4112915101043958,0.3333333333333333,32,999,3,3,40,1000
majority,0.6922464784500855,0.5383697176751282,0.7472527472527473,182,999,3,3,40,1000
minority,0.5754050190088036,0.3631075285132054,0.19230769230769232,182,999,3,3,40,1000
consensus,0.7324088819800539,0.598613322970081,0.9787234042553191,94,999,3,3,41,1000
dissensus,0.6217083060894059,0.43256245913410873,0.3333333333333333,40,999,3,3,41,1000
majority,0.6710030179423198,0.5065045269134796,0.7587939698492462,199,999,3,3,41,1000
minority,0.5881558718016274,0.38223380770244114,0.1708542713567839,199,999,3,3,41,1000
consensus,0.7017376434646918,0.5526064651970378,0.9719626168224299,107,999,3,3,42,1000
dissensus,0.605654426238695,0.4084816393580426,0.3333333333333333,45,999,3,3,42,1000
majority,0.6940612172691621,0.5410918259037433,0.7955801104972375,181,999,3,3,42,1000
minority,0.5792814988915639,0.3689222483373458,0.15469613259668508,181,999,3,3,42,1000
consensus,0.7306328583823438,0.5959492875735157,0.9690721649484536,97,999,3,3,43,1000
dissensus,0.6132011305501995,0.41980169582529925,0.3333333333333333,40,999,3,3,43,1000
majority,0.6868783850361416,0.5303175775542124,0.7551020408163265,196,999,3,3,43,1000
minority,0.5972129435454286,0.39581941531814296,0.22959183673469388,196,999,3,3,43,1000
consensus,0.7294655917846438,0.5941983876769656,1,102,999,3,3,44,1000
dissensus,0.6234335925105507,0.4351503887658262,0.3333333333333333,44,999,3,3,44,1000
majority,0.6609827784834672,0.49147416772520086,0.7005347593582888,187,999,3,3,44,1000
minority,0.6025435478831583,0.40381532182473756,0.25668449197860965,187,999,3,3,44,1000
consensus,0.7211688363038573,0.581753254455786,0.9821428571428571,112,999,3,3,45,1000
dissensus,0.6018391134081563,0.40275867011223454,0.3333333333333333,48,999,3,3,45,1000
majority,0.6890092889064123,0.5335139333596185,0.7687861271676301,173,999,3,3,45,1000
minority,0.5787617275787442,0.36814259136811633,0.1907514450867052,173,999,3,3,45,1000
consensus,0.731733294452547,0.5975999416788205,0.9897959183673469,98,999,3,3,46,1000
dissensus,0.6204810459845854,0.4307215689768782,0.3333333333333333,32,999,3,3,46,1000
majority,0.6907534100121416,0.5361301150182125,0.7536945812807881,203,999,3,3,46,1000
minority,0.5836432815838318,0.3754649223757477,0.19704433497536947,203,999,3,3,46,1000
consensus,0.7007773245513496,0.5511659868270242,0.9327731092436975,119,999,3,3,47,1000
dissensus,0.6074414009557269,0.4111621014335903,0.3333333333333333,28,999,3,3,47,1000
majority,0.6677076819458789,0.5015615229188185,0.7634408602150538,186,999,3,3,47,1000
minority,0.5961477194201722,0.3942215791302583,0.20430107526881722,186,999,3,3,47,1000
consensus,0.7256625523269218,0.5884938284903827,0.9504950495049505,101,999,3,3,48,1000
dissensus,0.6371639869796734,0.45574598046951004,0.3333333333333333,35,999,3,3,48,1000
majority,0.6847503318773605,0.5271254978160407,0.766497461928934,197,999,3,3,48,1000
minority,0.5998728827127396,0.3998093240691094,0.2233502538071066,197,999,3,3,48,1000
consensus,0.7083661057920964,0.5625491586881445,0.9578947368421052,95,999,3,3,49,1000
dissensus,0.6250371013561057,0.4375556520341585,0.3333333333333333,38,999,3,3,49,1000
majority,0.6762707914392619,0.5144061871588929,0.73,200,999,3,3,49,1000
minority,0.5953653965308331,0.39304809479624964,0.23,200,999,3,3,49,1000
consensus,0.7171957618206594,0.575793642730989,0.9375,96,999,3,3,50,1000
dissensus,0.6226453747663144,0.4339680621494717,0.3333333333333333,28,999,3,3,50,1000
majority,0.6806760271673241,0.5210140407509861,0.7511961722488039,209,999,3,3,50,1000
minority,0.5848005088618058,0.3772007632927087,0.19617224880382775,209,999,3,3,50,1000
consensus,0.7314227272273155,0.5971340908409732,1,103,999,3,3,51,1000
dissensus,0.5954756471446029,0.39321347071690427,0.3333333333333333,44,999,3,3,51,1000
majority,0.6898155412252819,0.5347233118379229,0.8064516129032258,186,999,3,3,51,1000
minority,0.5720052585868652,0.35800788788029786,0.16129032258064516,186,999,3,3,51,1000
consensus,0.7259273249713452,0.5888909874570177,0.9629629629629629,108,999,3,3,52,1000
dissensus,0.5990747994357588,0.39861219915363827,0.3333333333333333,33,999,3,3,52,1000
majority,0.6898113265961001,0.5347169898941502,0.71875,192,999,3,3,52,1000
minority,0.5863404830783515,0.3795107246175273,0.25,192,999,3,3,52,1000
consensus,0.7219084770028471,0.5828627155042707,0.9397590361445783,83,999,3,3,53,1000
dissensus,0.5969815397038286,0.39547230955574286,0.3333333333333333,43,999,3,3,53,1000
majority,0.6835194673886352,0.5252792010829528,0.748792270531401,207,999,3,3,53,1000
minority,0.5799377906157211,0.36990668592358167,0.21256038647342995,207,999,3,3,53,1000
consensus,0.7171342056896538,0.5757013085344806,0.97,100,999,3,3,54,1000
dissensus,0.587664457091353,0.3814966856370295,0.3333333333333333,33,999,3,3,54,1000
