constellation,average_competence,average_relative_competence,average_accuracy,count,population,sample,options,iteration,total_iterations
majority,0.6841142493366432,0.5261713740049648,0.765625,192,999,3,3,77,100
minority,0.5749717543949373,0.36245763159240596,0.203125,192,999,3,3,77,100
consensus,0.7133446765878216,0.5700170148817325,0.945054945054945,91,999,3,3,78,100
dissensus,0.6189367649835293,0.42840514747529396,0.3333333333333333,45,999,3,3,78,100
majority,0.6958568185144742,0.5437852277717113,0.7258883248730964,197,999,3,3,78,100
minority,0.6011163510765105,0.40167452661476577,0.20812182741116753,197,999,3,3,78,100
consensus,0.6989622392667454,0.548443358900118,0.9787234042553191,94,999,3,3,79,100
dissensus,0.617449037500327,0.4261735562504905,0.3333333333333333,42,999,3,3,79,100
majority,0.6953748675550188,0.5430623013325282,0.7715736040609137,197,999,3,3,79,100
minority,0.5918763284524193,0.387814492678629,0.19796954314720813,197,999,3,3,79,100
consensus,0.7140048396913335,0.5710072595370003,0.96,100,999,3,3,80,100
dissensus,0.6248225093860112,0.4372337640790168,0.3333333333333333,43,999,3,3,80,100
majority,0.6790873588001551,0.5186310382002328,0.7842105263157895,190,999,3,3,80,100
minority,0.5828269980913192,0.37424049713697877,0.16842105263157894,190,999,3,3,80,100
consensus,0.7177531253389007,0.576629688008351,1,115,999,3,3,81,100
dissensus,0.5612975894163053,0.3419463841244578,0.3333333333333333,30,999,3,3,81,100
majority,0.6735292278900611,0.5102938418350916,0.7340425531914894,188,999,3,3,81,100
minority,0.592280677248103,0.3884210158721544,0.21808510638297873,188,999,3,3,81,100
consensus,0.7119583817562178,0.5679375726343269,0.967391304347826,92,999,3,3,82,100
dissensus,0.6054546470029487,0.408181970504423,0.3333333333333333,45,999,3,3,82,100
majority,0.6861881109221433,0.5292821663832149,0.7244897959183674,196,999,3,3,82,100
minority,0.6076029523697105,0.4114044285545658,0.18877551020408162,196,999,3,3,82,100
consensus,0.7332636431966172,0.5998954647949257,0.9693877551020408,98,999,3,3,83,100
